line,rep,dai,dead_seedlings,total_seedlings,isolate
LD11-10069,rep2,dai.5,8,9,OH4
LD11-10069,rep3,dai.10,8,8,OH4
LD11-10069,rep3,dai.5,8,8,OH4
LD11-13802R2,rep1,dai.10,0,10,OH4
LD11-13802R2,rep1,dai.5,0,10,OH4
LD11-13802R2,rep2,dai.10,0,9,OH4
LD11-13802R2,rep2,dai.5,0,9,OH4
LD11-13802R2,rep3,dai.10,8,10,OH4
LD11-13802R2,rep3,dai.5,8,10,OH4
LD11-14102R2,rep1,dai.10,3,9,OH4
LD11-14102R2,rep1,dai.5,3,9,OH4
LD11-14102R2,rep2,dai.10,5,10,OH4
LD11-14102R2,rep2,dai.5,5,10,OH4
LD11-14102R2,rep3,dai.10,8,10,OH4
LD11-14102R2,rep3,dai.5,8,10,OH4
LD11-2170,rep1,dai.10,0,10,OH4
LD11-2170,rep1,dai.5,0,10,OH4
LD11-2170,rep2,dai.10,4,8,OH4
LD11-2170,rep2,dai.5,4,8,OH4
LD11-2170,rep3,dai.10,6,9,OH4
LD11-2170,rep3,dai.5,5,9,OH4
LD11-7311,rep1,dai.10,0,9,OH4
LD11-7311,rep1,dai.5,0,9,OH4
LD11-7311,rep2,dai.10,0,8,OH4
LD11-7311,rep2,dai.5,0,8,OH4
LD11-7311,rep3,dai.10,3,6,OH4
LD11-7311,rep3,dai.5,3,6,OH4
LD12-10534,rep1,dai.10,5,10,OH4
LD12-10534,rep1,dai.5,3,10,OH4
LD12-10534,rep2,dai.10,8,9,OH4
LD12-10534,rep2,dai.5,6,9,OH4
LD12-10534,rep3,dai.10,10,10,OH4
LD12-10534,rep3,dai.5,10,10,OH4
LD12-12701a,rep1,dai.10,5,10,OH4
LD12-12701a,rep1,dai.5,4,10,OH4
LD12-12701a,rep2,dai.10,10,10,OH4
LD12-12701a,rep2,dai.5,8,10,OH4
LD12-12701a,rep3,dai.10,8,9,OH4
LD12-12701a,rep3,dai.5,8,9,OH4
LD12-15064R1a,rep1,dai.10,6,7,OH4
LD12-15064R1a,rep1,dai.5,6,7,OH4
LD12-15064R1a,rep2,dai.10,6,6,OH4
LD12-15064R1a,rep2,dai.5,6,6,OH4
LD12-15064R1a,rep3,dai.10,8,8,OH4
LD12-15064R1a,rep3,dai.5,8,8,OH4
LD12-15129R1a,rep1,dai.10,9,9,OH4
LD12-15129R1a,rep1,dai.5,7,9,OH4
LD12-15129R1a,rep2,dai.10,8,8,OH4
LD12-15129R1a,rep2,dai.5,8,8,OH4
LD12-15129R1a,rep3,dai.10,6,6,OH4
LD12-15129R1a,rep3,dai.5,6,6,OH4
LD12-15156R1a,rep1,dai.10,4,8,OH4
LD12-15156R1a,rep1,dai.5,4,8,OH4
LD12-15156R1a,rep2,dai.10,10,10,OH4
LD12-15156R1a,rep2,dai.5,9,10,OH4
LD12-15156R1a,rep3,dai.10,9,9,OH4
LD12-15156R1a,rep3,dai.5,9,9,OH4
LD12-15246R2a,rep1,dai.10,3,8,OH4
LD12-15246R2a,rep1,dai.5,2,8,OH4
LD12-15246R2a,rep2,dai.10,1,6,OH4
LD12-15246R2a,rep2,dai.5,2,6,OH4
LD12-15246R2a,rep3,dai.10,9,10,OH4
LD12-15246R2a,rep3,dai.5,9,10,OH4
LD12-15609R2,rep1,dai.10,7,9,OH4
LD12-15609R2,rep1,dai.5,7,9,OH4
LD12-15609R2,rep2,dai.10,8,10,OH4
LD12-15609R2,rep2,dai.5,8,10,OH4
LD12-15609R2,rep3,dai.10,9,9,OH4
LD12-15609R2,rep3,dai.5,9,9,OH4
LD12-3866,rep1,dai.10,2,9,OH4
LD12-3866,rep1,dai.5,2,9,OH4
LD12-3866,rep2,dai.10,9,9,OH4
LD12-3866,rep2,dai.5,9,9,OH4
LD12-3866,rep3,dai.10,8,10,OH4
LD12-3866,rep3,dai.5,10,10,OH4
LD12-459,rep1,dai.10,3,6,OH4
LD12-459,rep1,dai.5,3,6,OH4
LD12-459,rep2,dai.10,3,4,OH4
LD12-459,rep2,dai.5,3,4,OH4
LD12-459,rep3,dai.10,8,8,OH4
LD12-459,rep3,dai.5,8,8,OH4
LD12-6010a,rep1,dai.10,9,10,OH4
LD12-6010a,rep1,dai.5,7,10,OH4
LD12-6010a,rep2,dai.10,5,9,OH4
LD12-6010a,rep2,dai.5,4,9,OH4
LD12-6010a,rep3,dai.10,9,9,OH4
LD12-6010a,rep3,dai.5,9,9,OH4
LD12-8677,rep1,dai.10,4,10,OH4
LD12-8677,rep1,dai.5,3,10,OH4
LD12-8677,rep2,dai.10,6,7,OH4
LD12-8677,rep2,dai.5,6,7,OH4
LD12-8677,rep3,dai.10,10,10,OH4
LD12-8677,rep3,dai.5,10,10,OH4
LD13-13334R1a,rep1,dai.10,4,9,OH4
LD13-13334R1a,rep1,dai.5,4,9,OH4
LD13-13334R1a,rep2,dai.10,5,8,OH4
LD13-13334R1a,rep2,dai.5,5,8,OH4
LD13-13334R1a,rep3,dai.10,10,10,OH4
LD13-13334R1a,rep3,dai.5,10,10,OH4
LD13-13478R1a,rep1,dai.10,5,10,OH4
LD13-13478R1a,rep1,dai.5,4,10,OH4
LD13-13478R1a,rep2,dai.10,8,10,OH4
LD13-13478R1a,rep2,dai.5,7,10,OH4
LD13-13478R1a,rep3,dai.10,10,10,OH4
LD13-13478R1a,rep3,dai.5,10,10,OH4
LD13-14071R2,rep1,dai.10,4,10,OH4
